,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17
Topic_1,63.74,0.0,1.91,0.85,7.3,1.8,0.0,5.56,1.97,0.49,2.44,5.32,2.0,0.74,5.63,6.45,20.79
Topic_2,3.3,2.0,1.91,4.24,1.46,2.7,0.0,6.94,0.0,0.49,7.32,3.72,6.67,36.3,53.52,38.06,11.88
Topic_3,0.55,2.0,1.91,1.69,5.11,3.6,3.6,1.39,0.66,0.97,9.76,5.32,2.0,0.0,7.51,8.39,2.97
Topic_4,10.99,0.67,0.0,7.63,2.92,1.8,2.16,9.72,33.55,0.0,2.44,39.89,1.33,0.74,6.57,2.58,0.99
Topic_5,7.69,1.33,1.91,2.54,2.92,0.9,0.72,30.56,0.66,0.0,0.0,1.6,1.33,0.0,17.37,9.68,15.84
Topic_6,3.85,32.67,40.76,28.81,3.65,0.9,50.36,4.17,5.92,1.46,2.44,2.66,4.67,1.48,0.94,4.52,5.94
Topic_7,0.55,0.67,2.55,10.17,0.73,4.5,1.44,0.0,0.0,1.94,19.51,1.06,2.67,31.85,0.0,5.16,0.99
Topic_8,3.3,3.33,12.74,6.78,4.38,2.7,5.76,8.33,2.63,0.49,0.0,1.6,9.33,0.0,3.29,2.58,12.87
Topic_9,0.55,4.67,0.64,2.54,40.88,9.01,1.44,1.39,1.97,0.49,17.07,0.0,10.67,9.63,0.0,2.58,2.97
Topic_10,0.0,7.33,10.19,11.86,2.92,2.7,25.9,4.17,13.82,90.78,9.76,9.04,0.0,1.48,0.94,2.58,3.96
Topic_11,1.1,24.0,13.38,9.32,7.3,6.31,4.32,0.0,20.39,0.97,9.76,7.45,0.67,1.48,0.0,3.23,7.92
Topic_12,2.75,12.0,1.91,4.24,7.3,12.61,2.88,26.39,3.95,0.97,0.0,1.6,24.0,4.44,0.47,8.39,9.9
Topic_13,0.0,6.67,7.64,8.47,8.76,48.65,1.44,1.39,14.47,0.49,19.51,20.74,1.33,3.7,0.94,1.94,0.0
Topic_14,1.65,2.67,2.55,0.85,4.38,1.8,0.0,0.0,0.0,0.49,0.0,0.0,33.33,8.15,2.82,3.87,2.97
