,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17
Topic_1,116,0,3,1,10,2,0,4,3,1,1,10,3,1,12,10,21
Topic_2,6,3,3,5,2,3,0,5,0,1,3,7,10,49,114,59,12
Topic_3,1,3,3,2,7,4,5,1,1,2,4,10,3,0,16,13,3
Topic_4,20,1,0,9,4,2,3,7,51,0,1,75,2,1,14,4,1
Topic_5,14,2,3,3,4,1,1,22,1,0,0,3,2,0,37,15,16
Topic_6,7,49,64,34,5,1,70,3,9,3,1,5,7,2,2,7,6
Topic_7,1,1,4,12,1,5,2,0,0,4,8,2,4,43,0,8,1
Topic_8,6,5,20,8,6,3,8,6,4,1,0,3,14,0,7,4,13
Topic_9,1,7,1,3,56,10,2,1,3,1,7,0,16,13,0,4,3
Topic_10,0,11,16,14,4,3,36,3,21,187,4,17,0,2,2,4,4
Topic_11,2,36,21,11,10,7,6,0,31,2,4,14,1,2,0,5,8
Topic_12,5,18,3,5,10,14,4,19,6,2,0,3,36,6,1,13,10
Topic_13,0,10,12,10,12,54,2,1,22,1,8,39,2,5,2,3,0
Topic_14,3,4,4,1,6,2,0,0,0,1,0,0,50,11,6,6,3
