,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17
Topic_1,58.59,0.0,1.52,0.51,5.05,1.01,0.0,2.02,1.52,0.51,0.51,5.05,1.52,0.51,6.06,5.05,10.61
Topic_2,2.13,1.06,1.06,1.77,0.71,1.06,0.0,1.77,0.0,0.35,1.06,2.48,3.55,17.38,40.43,20.92,4.26
Topic_3,1.28,3.85,3.85,2.56,8.97,5.13,6.41,1.28,1.28,2.56,5.13,12.82,3.85,0.0,20.51,16.67,3.85
Topic_4,10.26,0.51,0.0,4.62,2.05,1.03,1.54,3.59,26.15,0.0,0.51,38.46,1.03,0.51,7.18,2.05,0.51
Topic_5,11.29,1.61,2.42,2.42,3.23,0.81,0.81,17.74,0.81,0.0,0.0,2.42,1.61,0.0,29.84,12.1,12.9
Topic_6,2.55,17.82,23.27,12.36,1.82,0.36,25.45,1.09,3.27,1.09,0.36,1.82,2.55,0.73,0.73,2.55,2.18
Topic_7,1.04,1.04,4.17,12.5,1.04,5.21,2.08,0.0,0.0,4.17,8.33,2.08,4.17,44.79,0.0,8.33,1.04
Topic_8,5.56,4.63,18.52,7.41,5.56,2.78,7.41,5.56,3.7,0.93,0.0,2.78,12.96,0.0,6.48,3.7,12.04
Topic_9,0.78,5.47,0.78,2.34,43.75,7.81,1.56,0.78,2.34,0.78,5.47,0.0,12.5,10.16,0.0,3.12,2.34
Topic_10,0.0,3.35,4.88,4.27,1.22,0.91,10.98,0.91,6.4,57.01,1.22,5.18,0.0,0.61,0.61,1.22,1.22
Topic_11,1.25,22.5,13.12,6.88,6.25,4.38,3.75,0.0,19.38,1.25,2.5,8.75,0.62,1.25,0.0,3.12,5.0
Topic_12,3.23,11.61,1.94,3.23,6.45,9.03,2.58,12.26,3.87,1.29,0.0,1.94,23.23,3.87,0.65,8.39,6.45
Topic_13,0.0,5.46,6.56,5.46,6.56,29.51,1.09,0.55,12.02,0.55,4.37,21.31,1.09,2.73,1.09,1.64,0.0
Topic_14,3.09,4.12,4.12,1.03,6.19,2.06,0.0,0.0,0.0,1.03,0.0,0.0,51.55,11.34,6.19,6.19,3.09
