ID,title,abstract,year,doi,topic_6_weight
2367,The limits to cumulative causation: International migration from Mexican urban areas,"We present theoretical arguments and empirical research to suggest that the principal mechanisms of cumulative causation do not function in large urban settings. Using data from the Mexican Migration Project, we found evidence of cumulative causation in small cities, rural towns and villages, but not in large urban areas. With event-history models, we found little positive effect of community-level social capital and a strong deterrent effect of urban labor markets on the likelihood of first and later U.S. trips for residents of urban areas in Mexico, suggesting that the social process of migration from urban areas is distinct from that in the more widely studied rural migrant-sending communities of Mexico.",2004,10.1353/dem.2004.0003,0.9171987
109,Growing food to grow cities? The potential of agriculture foreconomic and community development in the urban United States,"Agriculture has become a focus of planning for urban regeneration in the United States. However, to make agriculture an impactful part of urban community and economic development - rather than a passing fad - it is vital to identify its most effective forms. This paper reports on field research in six cities in the United States where municipalities, non-profit organizations and residents are deploying farming and gardening for diverse economic development objectives. Our findings suggest that despite expectations that urban agriculture will attract capital, create jobs and tax ratables and increase property values in preparation for 'higher-value' development, its greatest potential is in social enterprise, supplementing incomes, developing human and social capital and promoting food security.",2014,10.1093/cdj/bst087,0.9067778
2076,"Religious Diversity, Islam, and Integration in Western Europe-Dissecting Symbolic, Social, and Institutional Boundary Dynamics","Religious diversity and, in particular, the presence of Islam is often perceived as a threat to national solidarity and social cohesion across Western Europe. Reviewing and synthesizing compartmentalized research literature on religion and immigrant integration, this article scrutinizes symbolic, social, and institutional boundary processes and their underlying micro-level mechanisms. First, it showcases the relative brightness of religiously coded symbolic boundaries that is sustained by anti-Muslim prejudices among the majority as well as by the intergenerational transmission of Muslim religiosity. Second, it discusses whether and how religious differences translate into social boundaries, through both discrimination and religiously based (self-)segregation on the labor market, in education, and in social networks. Third, it traces how interactive sequences of Muslims' claims for recognition and public policy responses have led to institutional boundary shifts under the influence of constitutional law and European human rights and anti-discrimination directives. The article concludes by discussing scenarios of how macro-level processes of symbolic, social, and institutional boundary transformation interrelate, thus raising broader questions on religious diversity and integration in Western European nation-states. Religiose Diversitat und insbesondere die Prasenz des Islam werden in Westeuropa oftmals als Bedrohung nationaler Solidaritat und sozialer Kohasion wahrgenommen. Gestutzt auf ein Review und eine Synthese spezialisierter Forschungsliteraturen zu Religion und der Integration von Immigranten untersucht der Beitrag symbolische, soziale und institutionelle Prozesse der Grenzziehung und ihre zugrundeliegenden Mikromechanismen. Erstens dokumentiert er die relative Scharfe religios codierter symbolischer Grenzen, die sich auf anti-muslimische Vorurteile auf Seiten der Mehrheit und die intergenerationelle Transmission muslimischer Religiositat auf Seiten der Minderheit stutzt. Zweitens diskutiert er, ob und wie religiose Differenzen - durch Diskriminierung und religiose (Selbst-)Segregation - in soziale Grenzen auf dem Arbeitsmarkt, im Bildungssektor und in sozialen Netzwerken ubersetzt werden. Drittens rekonstruiert er, wie interaktive Sequenzen muslimischer Anerkennungsforderungen und offentlicher Politik unter dem Einfluss von Verfassungsrecht und europaischen Normen von Menschenrechten und Anti-Diskriminierung zu institutionellen Grenzverschiebungen gefuhrt haben. Der Beitrag schliesst mit einer Diskussion verschiedener Szenarien, wie sich die Makroprozesse symbolischer, sozialer und institutioneller Grenzziehungen zueinander verhalten und beleuchtet damit allgemeinere Fragen von religioser Diversitat und Integration in westeuropaischen Nationalstaaten.",2023,10.1007/s11577-023-00911-5,0.905378
2071,Urban orchard in a megacity: formality and informality in China,"This anonymized Research Note reports qualitative observations and interview evidence to explore the operation of a U-pick lychee orchard located in China's Pearl River Delta. Observation reveals the ironic juxtaposition of an owner-built cottage on a forested hillside surrounded by an intensively planned, densely populated urban environment featuring high-rise apartment towers. Field data show that informality, social networks, and petty entrepreneurialism are all manifest in urban agriculture, lychee production, labor, and land tenure. This Research Note illustrates the interstitial porosity that exists within the incorporated bounds of an urban area with informal economic activity adjacent to formal occupations and hillside orchards in the shadows of high-rise apartment towers.",2024,10.1080/15387216.2024.2351399,0.8816032
280,Essential multiple functions of farms in rural communities and landscapes,"As farms are consolidated into larger operations and small farms close down for economic reasons, rural areas lose ecological, social and economic functions related to farming. Biodiversity and scenic, open-vista landscapes are lost as fields are left unmanaged. Social and economic benefits such as local job opportunities and meeting places disappear. Four Swedish rural communities were examined to increase our understanding of the functions that a diverse agriculture provides and which of these are lost as farms cease operation and overall rural social capital is depleted. Workshops and interviews with village action groups and with farmers were carried out. Both groups identified key functions from farming that are important to the rural community, such as production of food and fiber, businesses and jobs, human services, local security, ecosystem services such as nutrient cycling and biodiversity, and functions pertaining to quality of life. Several ways in which village action groups can support agriculture were identified that current industrial agriculture and even agri-environmental schemes fail to achieve. These include organizing local meeting places, encouraging local processing and consumption and supporting farmers in their work. We conclude that agriculture and village action groups match well in community development and that policies supporting this match would be useful.",2011,10.1017/S1742170510000529,0.7977792
690,Neighborhoods and their impacts on the informal food economy of Bengaluru,"Informal work has received much attention in global policy and research over the past four decades, however, policy approaches have favoured an economic way of thinking about informality rather than a spatial or urban perspective. This article investigates city-scale trends within the informal food economy of Bengaluru, attempting to use a spatial lens to understand informal work. The study involved a large scale quantitative survey of informal food businesses in different kinds of neighborhoods across the city, as well as in-depth interviews with a smaller set of businesses. Through the survey and interviews, we studied the variety of business setups and their operations, occupational mobility and financial stability. This article attempts to demonstrate: (i) the diversity of outcomes for vendors over time, and (ii) how vendors' occupational history and social networks play a role in creating (and closing off) vending opportunities, and (iii) how the spatial-economic structure of the city, defined here as specific land typologies, influences the operations and financial prospects of informal food businesses.",2022,10.1016/j.cities.2022.103672,0.79361224
1715,CULTURAL ECONOMY AND THE CREATIVE FIELD OF THE CITY,"I begin with a rough sketch of the incidence of the cultural economy in US cities today. I then offer a brief review of some theoretical approaches to the question of creativity, with special reference to issues of social and geographic context. The city is a powerful fountainhead of creativity, and an attempt is made to show how this can be understood in terms of a series of localized field effects. The creative field of the city is broken down (relative to the cultural economy) into four major components, namely, (a) intra-urban webs of specialized and complementary producers, (b) the local labour market and the social networks that bind workers together in urban space, (c) the wider urban environment, including various sites of memory, leisure, and social reproduction, and (d) institutions of governance and collective action. I also briefly describe some of the path-dependent dynamics of the creative field. The article ends with a reference to some issues of geographic scale. Here, I argue that the urban is but one (albeit important) spatial articulation of an overall creative field whose extent is ultimately nothing less than global.",2010,10.1111/j.1468-0467.2010.00337.x,0.78615683
2236,"Structural Model of Community Social Capital for Enhancing Rural Communities Adaptation against the COVID-19 Pandemic: Empirical Evidence from Pujon Kidul Tourism Village, Malang Regency, Indonesia","Pujon Kidul Village, Pujon District, Malang Regency, is an area with tourism potential that has been developed since 2017 with the concept of agricultural tourism. Throughout the development of tourism villages, Pujon Kidul Village has succeeded in accelerating economic growth and providing jobs for the community. However, during the COVID-19 pandemic, tourism villages have been severely affected, leading to the temporary closure of tourist attractions and community businesses. This research aimed to identify what indicators form social capital variables and the relationship between social capital variables and community adaptation patterns in dealing with pandemics in the study location. This was quantitative research with confirmatory factor analysis to determine the indicators of forming social capital and structural equation modeling analysis to determine the relationship between the variables. Based on the findings, it is known that trust in forming a social network is 0.468. Furthermore, the social network forms community actions of 0.046 and influences community resilience by 0.007. Therefore, good social capital will make it easier for the community to participate in collective action as a form of caring for each other during the pandemic. This action also influences the community to survive in a pandemic crisis, thus creating an adaptation pattern for the Pujon Kidul Tourism Village community in facing a pandemic.",2022,10.3390/su141912949,0.78551936
2297,"Couples' places of meeting in late 20th century Britain: Class, continuity and change","This article examines couples' places or contexts of meeting in the second half of the 20th century in Great Britain, utilizing a typology developed by Bozon and Heran. The continuities are as striking as the changes, with social networks maintaining a consistent level of importance, but with trends towards meeting at places of education and work, and away from meeting in public places for drinking, eating or socializing. Rather than reflecting the impact of the rise of individualism and self-identity, these trends arguably reflect the changing importance of settings within people's daily lives, as may the recent growth in internet dating. Social class appears to have become more strongly related to the likelihood of meeting in 'public' settings, apparently more common in Britain than elsewhere. Achieved characteristics, especially occupational class, have a greater impact than parental class. Variations between place of meeting categories in the extent of occupational class homogamy appear to reflect levels of class homogeneity within settings more than the impact of either individualism or a homogamy norm. Regional variations in places of meeting highlight the ongoing importance of structural factors such as patterns of sociability or cultural norms.",2007,10.1093/esr/jcm004,0.7609972
2390,Touring as labour: mobilities and reconsideration of tour guiding in everyday life,"The research adopts the mobilities approach to examining the everyday experience of tour guides. Scholars tend to highlight guides as service providers and cultural brokers, whose activities and feelings seem to be subordinate to tourism consumption. In contrast, the research moves beyond the context of business and economy and seeks to resituate tour guiding in ordinary life. It draws on the ethnographic fieldwork in Sanya, a coastal city in south China, and adopts the methods of secondary data collection, interviews and participant observation for data generation. Specifically, the research scrutinises how tourism mobilities are embedded into the production of local guides' daily practices, emotions and feelings. Tour guiding is characterised by movement/stillness, instability and contested meanings. On working days, guides travel with tourists between scenic sites, receiving unstable income. The mobile work greatly shapes their everyday rhythms, social networks, familial lives and identities. On jobless days, guides are likely to confine ordinary practices to residence and suffer from deep anxiety. Immobilities arouse their feelings of inability and worries about the future, thus lowering their expectations of career and personal development. The research problematises the idiosyncrasy of tour guiding and underscores its close relationship with the production of everyday practices and experience, thus giving a wider view on tourism work. In so doing, it also enriches our understanding of the complexity of tourism mobilities and contributes to the debate on the de-differentiation of tourism.",2020,10.1080/14616688.2019.1686769,0.73449033
1967,Achieving inclusive urbanization through county-led industrial specialization: from the perspective of rural labor supply,"Purpose - The role of intermediate urban centers (IUCs) (like towns/small cities/rural counties) between large cities and villages in leading urbanization has been increasingly highlighted. This article conceptually and empirically examines what types of industrial agglomeration (specialized or diversified agglomeration) of rural county in China would provide a more inclusive and efficient local labor market for rural workers to be inclusively urbanized. Design/methodology/approach - We employ a three-stage labor supply model to theoretically generalize the decisions of rural workers to migrate to large city, to undertake nonfarm jobs in rural counties and the length of nonfarm jobs. Then, combining three national-level datasets of China (National Economic Census (NEC), China Household Income Project (CHIP) and the China county statistical yearbook), we explore how the type of industrial agglomeration in a rural county affects the labor supply decision of rural workers. Findings - We show that rural workers in rural counties with higher level of industrial specialization are more likely to: (1) work locally than migrating to large cities; (2) find nonfarm jobs by themselves instead of relying on social networks (3) find a more stable and formal nonfarm job. These effects are significant when rural counties specialize in industries that they have local comparative advantages compared to large cities. This work provides insights into achieving inclusive urbanization by developing industry specialization in rural counties in China, which may also be useful for other developing countries. Originality/value - First, the conceptual framework of this paper extends the basic model of rural-urban migration longstanding in the literature, to a multi-choice and three-stage labor supply model. Second, we empirically quantify the industrial structure of rural counties using unique dataset, which has been emphasized in the development economics literature but neglected due to data limitations. Third, this paper expands our understanding of the role of rural counties in inclusive urbanization and contributes to the future development of the county-led urbanization policies.",2024,10.1108/CAER-03-2024-0073,0.6947467
2393,Implications of Migration on Employment and Occupational Transitions in Tanzania,"The overarching message from the growth literature is that a transition from the low-productivity agricultural sector to the high-productivity manufacturing sector is necessary for structural change. Although sub-Saharan Africa has experienced substantial economic growth rates, rural-urban migration contributed very little to this progress. Migration to peri-urban areas may offer prospects for diversification out of agriculture with lower moving costs and job-search frictions than urban centers. We document migration patterns and worker selection into peri-urban and urban areas in Tanzania. Standard spatial classifications mask the prominent phenomenon of peri-urban (rather than rural) to urban migration. Lacking job experience and social networks, many youth moving to urban destinations are more likely to be unemployed. However, conditional on being employed over the two-year period of the study, migration to peri-urban as well as urban areas allows workers to transition from low- to high-valued occupations.",2019,10.1177/0160017617751029,0.6793205
277,Small industrial towns in Moravia: a comparison of the production and post-productive eras,"The paper focuses on the changes to the industrial structure of small Moravian towns as these towns are part of the settlement structure that connects urban and rural systems. Small towns (of up to 15,000 inhabitants) are the most industrialized part of the Czech settlement system. They were the subject of capitalist industrialization in the nineteenth and early twentieth centuries, as well as socialist industrialization in the second half of the twentieth century. Therefore, the research question asks how the small-town sector coped with the transition to a post-productive society and how small towns were differentiated during this process. Population censuses were the main tool used to gather data for comparison. Today, small towns have preserved, in particular, less innovatively demanding industries, which have been pushed out of large and medium-sized cities. At the same time, they are undergoing a process of post-productive transformation which is associated with a massive transfer of job opportunities to services, but they can also become starting points for cultural tourism in rural areas. However, their future development will be very differentiated depending on their location concerning regional centres, on the quality of human and social capital and also on their historical pathways.",2023,10.1080/09654313.2022.2110377,0.6782003
362,Thinking global but acting local: The middle classes in the city,"The paper advances the notion that there is 'metropolitan habitus' in large global cities such as London which distinguishes it from other conurbations in the United Kingdom. At the same time, it is argued that whilst London is becoming an increasingly middle-class city, this group is increasingly stratified along socio-spatial lines. Richard Sennett's work The Corrosion of Character is drawn upon to suggest that, to some extent, different gentrification strategies enable the metropolitan middle classes to compensate for the lack of a long term in contemporary middle-class life. Drawing on fieldwork, recently conducted in five gentrified areas of inner London north and south of the Thames, it is suggested that an important aspect of the socio spatial differentiation within the metropolitan middle class is whether it seeks to embrace or escape the contemporary globalization of consumer culture. Although this process is highly nuanced by individual strategies for negotiating the boundaries between the global and the local, which are exemplified by the distinction between residential areas and the centre of London, it is nevertheless suggested that these socio-spatial divisions account for variations within the metropolitan habitus to a greater extent than socio-demographic and occupational divisions which are only weakly associated with the global/non-global dichotomisation. The paper uses both quantitative and qualitative data to look at the different ways in which cultural, economic and social capital are drawn on in the gentrification of each area and how these reflect not only the capabilities but also the proclivities of the different groups concerned. It is suggested that metropolitan habitus is a concept that needs further analysis and research but which has considerable potential explanatory value in accounting for differences between the middle classes in London and other provincial cities and non urban areas.",2002,10.5153/sro.740,0.6762418
1474,From London to Los Angeles: a comparison of local labour market processes in the US and UK film industries,"Addressing the issue of the embeddedness of labour markets, this paper compares the processes of finding employment in the film industry within two local labour markets. Drawing on studies of freelance film crews in London (UK) and Los Angeles (US), the paper concludes that the importance of social networks in job mobility in both contexts is a consequence of common production structures. However, common labour market practice varies in each geographical space as industry processes and structures are mediated by local institutional contexts.",2003,10.1080/0958519032000057619,0.67220414
